Numero da loja,Numero do produto,Mes da venda,Ano da venda,Quantidade vendida
1,1,1,2021,47
1,2,1,2021,10
1,3,1,2021,32
1,4,1,2021,11
1,5,1,2021,12
1,6,1,2021,
1,7,1,2021,4
1,8,1,2021,44
1,9,1,2021,29
1,10,1,2021,25
1,11,1,2021,20
1,12,1,2021,19
1,13,1,2021,22
1,14,1,2021,
1,15,1,2021,40
1,16,1,2021,33
1,17,1,2021,15
1,18,1,2021,47
1,19,1,2021,17
1,20,1,2021,31
1,21,1,2021,36
1,22,1,2021,30
1,23,1,2021,42
1,24,1,2021,39
1,25,1,2021,48
1,26,1,2021,5
1,27,1,2021,36
1,28,1,2021,40
1,29,1,2021,4
1,30,1,2021,
1,31,1,2021,17
1,32,1,2021,1
1,33,1,2021,13
1,34,1,2021,45
1,35,1,2021,16
1,36,1,2021,38
1,37,1,2021,7
1,38,1,2021,34
1,39,1,2021,27
1,40,1,2021,31
1,41,1,2021,2
1,42,1,2021,10
1,43,1,2021,31
1,44,1,2021,13
1,45,1,2021,49
1,46,1,2021,5
1,47,1,2021,47
1,48,1,2021,29
1,49,1,2021,4
1,50,1,2021,38
2,1,1,2021,35
2,2,1,2021,31
2,3,1,2021,29
2,4,1,2021,3
2,5,1,2021,49
2,6,1,2021,4
2,7,1,2021,4
2,8,1,2021,2
2,9,1,2021,38
2,10,1,2021,9
2,11,1,2021,36
2,12,1,2021,46
2,13,1,2021,26
2,14,1,2021,31
2,15,1,2021,15
2,16,1,2021,45
2,17,1,2021,27
2,18,1,2021,47
2,19,1,2021,25
2,20,1,2021,49
2,21,1,2021,47
2,22,1,2021,31
2,23,1,2021,38
2,24,1,2021,46
2,25,1,2021,39
2,26,1,2021,36
2,27,1,2021,7
2,28,1,2021,32
2,29,1,2021,12
2,30,1,2021,22
2,31,1,2021,7
2,32,1,2021,39
2,33,1,2021,46
2,34,1,2021,45
2,35,1,2021,9
2,36,1,2021,36
2,37,1,2021,27
2,38,1,2021,42
2,39,1,2021,31
2,40,1,2021,38
2,41,1,2021,10
2,42,1,2021,7
2,43,1,2021,37
2,44,1,2021,31
2,45,1,2021,42
2,46,1,2021,44
2,47,1,2021,38
2,48,1,2021,44
2,49,1,2021,7
2,50,1,2021,30
3,1,1,2021,32
3,2,1,2021,43
3,3,1,2021,18
3,4,1,2021,20
3,5,1,2021,47
3,6,1,2021,36
3,7,1,2021,15
3,8,1,2021,41
3,9,1,2021,47
3,10,1,2021,32
3,11,1,2021,22
3,12,1,2021,39
3,13,1,2021,47
3,14,1,2021,14
3,15,1,2021,37
3,16,1,2021,15
3,17,1,2021,
3,18,1,2021,0
3,19,1,2021,39
3,20,1,2021,47
3,21,1,2021,50
3,22,1,2021,0
3,23,1,2021,1
3,24,1,2021,21
3,25,1,2021,48
3,26,1,2021,29
3,27,1,2021,23
3,28,1,2021,32
3,29,1,2021,3
3,30,1,2021,43
3,31,1,2021,1
3,32,1,2021,49
3,33,1,2021,43
3,34,1,2021,35
3,35,1,2021,27
3,36,1,2021,3
3,37,1,2021,49
3,38,1,2021,43
3,39,1,2021,35
3,40,1,2021,18
3,41,1,2021,18
3,42,1,2021,30
3,43,1,2021,20
3,44,1,2021,19
3,45,1,2021,19
3,46,1,2021,37
3,47,1,2021,26
3,48,1,2021,22
3,49,1,2021,2
3,50,1,2021,50
4,1,1,2021,12
4,2,1,2021,9
4,3,1,2021,13
4,4,1,2021,16
4,5,1,2021,6
4,6,1,2021,48
4,7,1,2021,24
4,8,1,2021,46
4,9,1,2021,16
4,10,1,2021,39
4,11,1,2021,13
4,12,1,2021,3
4,13,1,2021,30
4,14,1,2021,33
4,15,1,2021,35
4,16,1,2021,44
4,17,1,2021,15
4,18,1,2021,21
4,19,1,2021,15
4,20,1,2021,21
4,21,1,2021,49
4,22,1,2021,27
4,23,1,2021,34
4,24,1,2021,29
4,25,1,2021,43
4,26,1,2021,32
4,27,1,2021,5
4,28,1,2021,30
4,29,1,2021,29
4,30,1,2021,31
4,31,1,2021,20
4,32,1,2021,15
4,33,1,2021,6
4,34,1,2021,7
4,35,1,2021,36
4,36,1,2021,1
4,37,1,2021,32
4,38,1,2021,42
4,39,1,2021,27
4,40,1,2021,9
4,41,1,2021,18
4,42,1,2021,41
4,43,1,2021,30
4,44,1,2021,13
4,45,1,2021,7
4,46,1,2021,24
4,47,1,2021,40
4,48,1,2021,36
4,49,1,2021,10
4,50,1,2021,21
5,1,1,2021,36
5,2,1,2021,2
5,3,1,2021,34
5,4,1,2021,8
5,5,1,2021,43
5,6,1,2021,19
5,7,1,2021,45
5,8,1,2021,23
5,9,1,2021,15
5,10,1,2021,13
5,11,1,2021,42
5,12,1,2021,0
5,13,1,2021,22
5,14,1,2021,39
5,15,1,2021,17
5,16,1,2021,23
5,17,1,2021,28
5,18,1,2021,4
5,19,1,2021,45
5,20,1,2021,41
5,21,1,2021,31
5,22,1,2021,23
5,23,1,2021,21
5,24,1,2021,14
5,25,1,2021,2
5,26,1,2021,27
5,27,1,2021,0
5,28,1,2021,26
5,29,1,2021,23
5,30,1,2021,26
5,31,1,2021,18
5,32,1,2021,44
5,33,1,2021,17
5,34,1,2021,41
5,35,1,2021,33
5,36,1,2021,17
5,37,1,2021,21
5,38,1,2021,44
5,39,1,2021,17
5,40,1,2021,48
5,41,1,2021,20
5,42,1,2021,6
5,43,1,2021,48
5,44,1,2021,12
5,45,1,2021,37
5,46,1,2021,5
5,47,1,2021,32
5,48,1,2021,49
5,49,1,2021,0
5,50,1,2021,15
6,1,1,2021,49
6,2,1,2021,2
6,3,1,2021,29
6,4,1,2021,4
6,5,1,2021,33
6,6,1,2021,45
6,7,1,2021,10
6,8,1,2021,33
6,9,1,2021,8
6,10,1,2021,17
6,11,1,2021,37
6,12,1,2021,43
6,13,1,2021,38
6,14,1,2021,29
6,15,1,2021,7
6,16,1,2021,16
6,17,1,2021,21
6,18,1,2021,8
6,19,1,2021,2
6,20,1,2021,42
6,21,1,2021,44
6,22,1,2021,46
6,23,1,2021,24
6,24,1,2021,42
6,25,1,2021,11
6,26,1,2021,37
6,27,1,2021,46
6,28,1,2021,20
6,29,1,2021,34
6,30,1,2021,11
6,31,1,2021,19
6,32,1,2021,6
6,33,1,2021,21
6,34,1,2021,25
6,35,1,2021,37
6,36,1,2021,21
6,37,1,2021,17
6,38,1,2021,34
6,39,1,2021,49
6,40,1,2021,16
6,41,1,2021,44
6,42,1,2021,14
6,43,1,2021,12
6,44,1,2021,27
6,45,1,2021,31
6,46,1,2021,38
6,47,1,2021,13
6,48,1,2021,38
6,49,1,2021,5
6,50,1,2021,31
7,1,1,2021,44
7,2,1,2021,44
7,3,1,2021,32
7,4,1,2021,48
7,5,1,2021,33
7,6,1,2021,20
7,7,1,2021,17
7,8,1,2021,21
7,9,1,2021,5
7,10,1,2021,21
7,11,1,2021,18
7,12,1,2021,0
7,13,1,2021,2
7,14,1,2021,37
7,15,1,2021,14
7,16,1,2021,45
7,17,1,2021,18
7,18,1,2021,2
7,19,1,2021,9
7,20,1,2021,6
7,21,1,2021,1
7,22,1,2021,32
7,23,1,2021,17
7,24,1,2021,3
7,25,1,2021,43
7,26,1,2021,35
7,27,1,2021,48
7,28,1,2021,39
7,29,1,2021,0
7,30,1,2021,4
7,31,1,2021,19
7,32,1,2021,18
7,33,1,2021,44
7,34,1,2021,43
7,35,1,2021,49
7,36,1,2021,10
7,37,1,2021,32
7,38,1,2021,8
7,39,1,2021,50
7,40,1,2021,31
7,41,1,2021,12
7,42,1,2021,29
7,43,1,2021,22
7,44,1,2021,18
7,45,1,2021,20
7,46,1,2021,40
7,47,1,2021,30
7,48,1,2021,45
7,49,1,2021,43
7,50,1,2021,26
8,1,1,2021,9
8,2,1,2021,42
8,3,1,2021,0
8,4,1,2021,22
8,5,1,2021,5
8,6,1,2021,18
8,7,1,2021,10
8,8,1,2021,27
8,9,1,2021,30
8,10,1,2021,6
8,11,1,2021,18
8,12,1,2021,9
8,13,1,2021,13
8,14,1,2021,3
8,15,1,2021,16
8,16,1,2021,16
8,17,1,2021,24
8,18,1,2021,15
8,19,1,2021,10
8,20,1,2021,23
8,21,1,2021,0
8,22,1,2021,4
8,23,1,2021,38
8,24,1,2021,2
8,25,1,2021,50
8,26,1,2021,35
8,27,1,2021,4
8,28,1,2021,44
8,29,1,2021,40
8,30,1,2021,7
8,31,1,2021,38
8,32,1,2021,13
8,33,1,2021,49
8,34,1,2021,37
8,35,1,2021,39
8,36,1,2021,49
8,37,1,2021,7
8,38,1,2021,37
8,39,1,2021,31
8,40,1,2021,21
8,41,1,2021,34
8,42,1,2021,25
8,43,1,2021,10
8,44,1,2021,24
8,45,1,2021,47
8,46,1,2021,32
8,47,1,2021,14
8,48,1,2021,45
8,49,1,2021,28
8,50,1,2021,14
9,1,1,2021,26
9,2,1,2021,38
9,3,1,2021,34
9,4,1,2021,42
9,5,1,2021,6
9,6,1,2021,38
9,7,1,2021,35
9,8,1,2021,21
9,9,1,2021,39
9,10,1,2021,28
9,11,1,2021,3
9,12,1,2021,44
9,13,1,2021,0
9,14,1,2021,18
9,15,1,2021,32
9,16,1,2021,29
9,17,1,2021,26
9,18,1,2021,32
9,19,1,2021,14
9,20,1,2021,20
9,21,1,2021,4
9,22,1,2021,4
9,23,1,2021,34
9,24,1,2021,25
9,25,1,2021,31
9,26,1,2021,11
9,27,1,2021,25
9,28,1,2021,13
9,29,1,2021,8
9,30,1,2021,1
9,31,1,2021,49
9,32,1,2021,8
9,33,1,2021,40
9,34,1,2021,50
9,35,1,2021,14
9,36,1,2021,22
9,37,1,2021,31
9,38,1,2021,42
9,39,1,2021,13
9,40,1,2021,13
9,41,1,2021,20
9,42,1,2021,10
9,43,1,2021,18
9,44,1,2021,35
9,45,1,2021,24
9,46,1,2021,14
9,47,1,2021,22
9,48,1,2021,26
9,49,1,2021,25
9,50,1,2021,48
10,1,1,2021,38
10,2,1,2021,24
10,3,1,2021,17
10,4,1,2021,23
10,5,1,2021,22
10,6,1,2021,30
10,7,1,2021,13
10,8,1,2021,9
10,9,1,2021,1
10,10,1,2021,20
10,11,1,2021,18
10,12,1,2021,38
10,13,1,2021,32
10,14,1,2021,21
10,15,1,2021,4
10,16,1,2021,8
10,17,1,2021,25
10,18,1,2021,49
10,19,1,2021,18
10,20,1,2021,23
10,21,1,2021,20
10,22,1,2021,32
10,23,1,2021,15
10,24,1,2021,23
10,25,1,2021,16
10,26,1,2021,19
10,27,1,2021,8
10,28,1,2021,21
10,29,1,2021,32
10,30,1,2021,8
10,31,1,2021,35
10,32,1,2021,27
10,33,1,2021,30
10,34,1,2021,10
10,35,1,2021,45
10,36,1,2021,37
10,37,1,2021,40
10,38,1,2021,21
10,39,1,2021,48
10,40,1,2021,20
10,41,1,2021,33
10,42,1,2021,12
10,43,1,2021,2
10,44,1,2021,38
10,45,1,2021,46
10,46,1,2021,15
10,47,1,2021,29
10,48,1,2021,14
10,49,1,2021,9
10,50,1,2021,12
11,1,1,2021,47
11,2,1,2021,11
11,3,1,2021,14
11,4,1,2021,22
11,5,1,2021,23
11,6,1,2021,3
11,7,1,2021,17
11,8,1,2021,36
11,9,1,2021,43
11,10,1,2021,18
11,11,1,2021,2
11,12,1,2021,2
11,13,1,2021,4
11,14,1,2021,48
11,15,1,2021,35
11,16,1,2021,2
11,17,1,2021,0
11,18,1,2021,42
11,19,1,2021,2
11,20,1,2021,48
11,21,1,2021,2
11,22,1,2021,7
11,23,1,2021,34
11,24,1,2021,50
11,25,1,2021,32
11,26,1,2021,37
11,27,1,2021,22
11,28,1,2021,5
11,29,1,2021,43
11,30,1,2021,18
11,31,1,2021,19
11,32,1,2021,44
11,33,1,2021,34
11,34,1,2021,9
11,35,1,2021,31
11,36,1,2021,19
11,37,1,2021,26
11,38,1,2021,50
11,39,1,2021,41
11,40,1,2021,41
11,41,1,2021,42
11,42,1,2021,7
11,43,1,2021,23
11,44,1,2021,40
11,45,1,2021,40
11,46,1,2021,21
11,47,1,2021,5
11,48,1,2021,46
11,49,1,2021,12
11,50,1,2021,35
12,1,1,2021,8
12,2,1,2021,3
12,3,1,2021,36
12,4,1,2021,5
12,5,1,2021,47
12,6,1,2021,21
12,7,1,2021,9
12,8,1,2021,3
12,9,1,2021,4
12,10,1,2021,48
12,11,1,2021,10
12,12,1,2021,31
12,13,1,2021,4
12,14,1,2021,0
12,15,1,2021,9
12,16,1,2021,4
12,17,1,2021,29
12,18,1,2021,6
12,19,1,2021,36
12,20,1,2021,29
12,21,1,2021,29
12,22,1,2021,0
12,23,1,2021,41
12,24,1,2021,8
12,25,1,2021,15
12,26,1,2021,39
12,27,1,2021,43
12,28,1,2021,12
12,29,1,2021,41
12,30,1,2021,20
12,31,1,2021,1
12,32,1,2021,12
12,33,1,2021,16
12,34,1,2021,31
12,35,1,2021,38
12,36,1,2021,39
12,37,1,2021,39
12,38,1,2021,1
12,39,1,2021,42
12,40,1,2021,40
12,41,1,2021,17
12,42,1,2021,0
12,43,1,2021,49
12,44,1,2021,14
12,45,1,2021,3
12,46,1,2021,13
12,47,1,2021,4
12,48,1,2021,28
12,49,1,2021,47
12,50,1,2021,49
13,1,1,2021,33
13,2,1,2021,16
13,3,1,2021,27
13,4,1,2021,7
13,5,1,2021,29
13,6,1,2021,33
13,7,1,2021,44
13,8,1,2021,34
13,9,1,2021,31
13,10,1,2021,33
13,11,1,2021,29
13,12,1,2021,34
13,13,1,2021,50
13,14,1,2021,50
13,15,1,2021,45
13,16,1,2021,22
13,17,1,2021,18
13,18,1,2021,40
13,19,1,2021,24
13,20,1,2021,29
13,21,1,2021,39
13,22,1,2021,35
13,23,1,2021,2
13,24,1,2021,17
13,25,1,2021,10
13,26,1,2021,25
13,27,1,2021,31
13,28,1,2021,44
13,29,1,2021,42
13,30,1,2021,27
13,31,1,2021,6
13,32,1,2021,15
13,33,1,2021,9
13,34,1,2021,6
13,35,1,2021,3
13,36,1,2021,31
13,37,1,2021,32
13,38,1,2021,30
13,39,1,2021,41
13,40,1,2021,33
13,41,1,2021,10
13,42,1,2021,28
13,43,1,2021,11
13,44,1,2021,15
13,45,1,2021,24
13,46,1,2021,12
13,47,1,2021,15
13,48,1,2021,42
13,49,1,2021,34
13,50,1,2021,10
14,1,1,2021,45
14,2,1,2021,50
14,3,1,2021,2
14,4,1,2021,6
14,5,1,2021,17
14,6,1,2021,49
14,7,1,2021,10
14,8,1,2021,43
14,9,1,2021,27
14,10,1,2021,37
14,11,1,2021,50
14,12,1,2021,47
14,13,1,2021,44
14,14,1,2021,38
14,15,1,2021,45
14,16,1,2021,5
14,17,1,2021,38
14,18,1,2021,6
14,19,1,2021,22
14,20,1,2021,1
